Frequenz (Hz)	Gain (dB)	Gain (U_out/U_in)	Phase
100.000000	-1.023259	0.888868	0.000000
109.647820	-1.023259	0.888868	0.000000
120.226443	-1.023259	0.888868	-0.800000
131.825674	-1.023259	0.888868	0.000000
144.543977	-1.070337	0.884063	-1.000000
158.489319	-1.070337	0.884063	-1.100000
173.780083	-1.070337	0.884063	-1.200000
190.546072	-1.070337	0.884063	-1.300000
208.929613	-1.070337	0.884063	-0.800000
229.086765	-1.070337	0.884063	-0.800000
251.188643	-1.070337	0.884063	-0.900000
275.422870	-1.070337	0.884063	-1.000000
301.995172	-1.070337	0.884063	-1.100000
331.131121	-1.070337	0.884063	-1.200000
363.078055	-1.021792	0.889018	-1.300000
398.107171	-1.021792	0.889018	-0.800000
436.515832	-1.021792	0.889018	-1.700000
478.630092	-1.021792	0.889018	-0.900000
524.807460	-1.021792	0.889018	-1.000000
575.439937	-1.021792	0.889018	-1.100000
630.957344	-1.021792	0.889018	-2.400000
691.830971	-1.070337	0.884063	-2.600000
758.577575	-1.070337	0.884063	-2.300000
831.763771	-1.070337	0.884063	-2.500000
912.010839	-1.070337	0.884063	-2.700000
1000.000000	-1.070337	0.884063	-3.000000
1096.478196	-1.070337	0.884063	-3.300000
1202.264435	-1.070337	0.884063	-3.600000
1318.256739	-1.023259	0.888868	-3.900000
1445.439771	-1.023259	0.888868	-3.800000
1584.893192	-1.023259	0.888868	-4.100000
1737.800829	-1.023259	0.888868	-4.500000
1905.460718	-1.071120	0.883983	-4.000000
2089.296131	-1.071120	0.883983	-4.400000
2290.867653	-1.119131	0.879110	-6.000000
2511.886432	-1.119131	0.879110	-6.600000
2754.228703	-1.119131	0.879110	-7.500000
3019.951720	-1.213546	0.869606	-8.300000
3311.311215	-1.213546	0.869606	-9.100000
3630.780548	-1.261035	0.864865	-9.900000
3981.071706	-1.308265	0.860175	-10.900000
4365.158322	-1.354836	0.855575	-13.200000
4786.300923	-1.448035	0.846444	-13.100000
5248.074602	-1.539849	0.837544	-14.400000
5754.399373	-1.787291	0.814021	-15.900000
6309.573445	-1.981616	0.796011	-18.200000
6918.309709	-2.181776	0.777878	-20.900000
7585.775750	-2.486409	0.751069	-22.900000
8317.637711	-2.858560	0.719568	-25.200000
9120.108394	-3.395007	0.676472	-28.800000
10000.000000	-4.090724	0.624401	-32.800000
10964.781961	-5.133740	0.553749	-35.600000
12022.644346	-6.689320	0.462950	-39.000000
13182.567386	-8.992036	0.355139	-40.100000
14454.397707	-12.812278	0.228763	-30.900000
15848.931925	-16.043680	0.157694	7.700000
17378.008287	-12.292107	0.242882	44.500000
19054.607180	-8.290275	0.385023	51.200000
20892.961309	-5.659002	0.521255	48.600000
22908.676528	-4.025514	0.629107	43.300000
25118.864315	-3.008120	0.707284	39.300000
27542.287033	-2.242149	0.772489	34.000000
30199.517204	-1.744404	0.818050	30.700000
33113.112148	-1.311435	0.859861	27.700000
36307.805477	-0.979409	0.893366	23.700000
39810.717055	-0.786172	0.913464	21.200000
43651.583224	-0.638478	0.929129	19.100000
47863.009232	-0.488665	0.945294	17.300000
52480.746025	-0.391776	0.955897	16.000000
57543.993734	-0.340667	0.961538	14.200000
63095.734448	-0.289700	0.967197	13.200000
69183.097092	-0.237984	0.972973	11.800000
75857.757503	-0.192149	0.978121	10.600000
83176.377110	-0.185960	0.978818	9.900000
91201.083936	-0.140124	0.983997	9.100000
100000.000000	-0.088238	0.989893	8.000000
109647.819614	-0.088238	0.989893	6.600000
120226.443462	-0.088238	0.989893	6.000000
131825.673856	-0.088238	0.989893	6.600000
144543.977075	-0.088238	0.989893	4.500000
158489.319246	-0.088238	0.989893	5.000000
173780.082875	-0.088238	0.989893	3.600000
190546.071796	-0.088238	0.989893	4.000000
208929.613085	-0.088238	0.989893	3.300000
229086.765277	-0.088238	0.989893	2.400000
251188.643151	-0.088238	0.989893	2.600000
275422.870334	-0.088238	0.989893	2.300000
301995.172040	-0.088238	0.989893	2.500000
331131.121483	-0.088238	0.989893	1.800000
363078.054770	-0.088238	0.989893	2.000000
398107.170553	-0.088238	0.989893	1.100000
436515.832240	-0.088238	0.989893	1.200000
478630.092323	-0.088238	0.989893	1.300000
524807.460250	-0.088238	0.989893	0.800000
575439.937337	-0.088238	0.989893	0.800000
630957.344480	-0.088238	0.989893	0.000000
691830.970919	-0.088238	0.989893	0.000000
758577.575029	-0.088238	0.989893	0.000000
831763.771103	-0.088238	0.989893	0.000000
912010.839356	-0.088238	0.989893	0.000000
1000000.000000	-0.088238	0.989893	-0.800000
