I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000051	0.600281	-0.000021	0.003228
0.000052	0.601238	-0.000022	0.003228
0.000054	0.602048	-0.000021	0.003342
0.000055	0.602891	-0.000023	0.003261
0.000056	0.603750	-0.000021	0.003277
0.000057	0.604560	-0.000023	0.003277
0.000059	0.605371	-0.000023	0.003358
0.000060	0.606100	-0.000023	0.003358
0.000061	0.606927	-0.000023	0.003423
0.000062	0.607640	-0.000023	0.003423
0.000064	0.608402	-0.000022	0.003439
0.000065	0.609083	-0.000023	0.003374
0.000066	0.609893	-0.000023	0.003471
0.000067	0.610542	-0.000023	0.003423
0.000069	0.611304	-0.000023	0.003569
0.000070	0.611936	-0.000024	0.003520
0.000071	0.612633	-0.000024	0.003520
0.000073	0.613216	-0.000025	0.003569
0.000074	0.613994	-0.000024	0.003504
0.000075	0.614594	-0.000024	0.003471
0.000076	0.615259	-0.000025	0.003569
0.000078	0.615891	-0.000025	0.003634
0.000079	0.616409	-0.000025	0.003520
0.000080	0.617123	-0.000024	0.003585
0.000081	0.617674	-0.000025	0.003585
0.000083	0.618274	-0.000025	0.003715
0.000084	0.618808	-0.000025	0.003666
0.000085	0.619360	-0.000025	0.003569
0.000086	0.619943	-0.000025	0.003617
0.000088	0.620543	-0.000026	0.003666
0.000089	0.621126	-0.000025	0.003698
0.000090	0.621613	-0.000026	0.003715
0.000092	0.622131	-0.000026	0.003731
0.000093	0.622650	-0.000025	0.003682
0.000094	0.623201	-0.000026	0.003715
0.000095	0.623704	-0.000026	0.003715
0.000097	0.624109	-0.000026	0.003779
0.000098	0.624676	-0.000026	0.003747
0.000099	0.625195	-0.000025	0.003779
0.000100	0.625697	-0.000026	0.003779
0.000102	0.626232	-0.000027	0.003763
0.000103	0.626702	-0.000026	0.003779
0.000104	0.627172	-0.000027	0.003796
0.000105	0.627675	-0.000027	0.003828
0.000107	0.628064	-0.000027	0.003731
0.000108	0.628550	-0.000027	0.003796
0.000109	0.628955	-0.000027	0.003828
0.000111	0.629458	-0.000028	0.003844
0.000112	0.629847	-0.000027	0.003909
0.000113	0.630414	-0.000027	0.003779
0.000114	0.630771	-0.000027	0.003877
