I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000072	0.612924	-0.000024	0.003488
0.000073	0.613378	-0.000025	0.003471
0.000074	0.613946	-0.000024	0.003488
0.000075	0.614351	-0.000024	0.003520
0.000075	0.614691	-0.000025	0.003650
0.000076	0.615194	-0.000025	0.003552
0.000077	0.615518	-0.000025	0.003488
0.000078	0.615972	-0.000025	0.003520
0.000079	0.616361	-0.000024	0.003455
0.000080	0.616831	-0.000024	0.003682
0.000081	0.617269	-0.000026	0.003585
0.000081	0.617593	-0.000026	0.003601
0.000082	0.618063	-0.000024	0.003552
0.000083	0.618387	-0.000026	0.003650
0.000084	0.618825	-0.000026	0.003617
0.000085	0.619230	-0.000024	0.003650
0.000086	0.619505	-0.000026	0.003682
0.000086	0.619976	-0.000025	0.003715
0.000087	0.620348	-0.000027	0.003520
0.000088	0.620689	-0.000025	0.003715
0.000089	0.621062	-0.000026	0.003585
0.000090	0.621402	-0.000025	0.003715
0.000091	0.621775	-0.000025	0.003569
0.000092	0.622212	-0.000025	0.003650
0.000092	0.622553	-0.000026	0.003698
0.000093	0.622861	-0.000026	0.003715
0.000094	0.623234	-0.000027	0.003698
0.000095	0.623574	-0.000026	0.003698
0.000096	0.623914	-0.000027	0.003634
0.000097	0.624239	-0.000027	0.003682
0.000097	0.624595	-0.000026	0.003634
0.000098	0.624919	-0.000027	0.003682
0.000099	0.625260	-0.000026	0.003812
0.000100	0.625681	-0.000026	0.003828
0.000101	0.625924	-0.000026	0.003666
0.000102	0.626281	-0.000026	0.003763
0.000102	0.626540	-0.000027	0.003763
0.000103	0.626864	-0.000026	0.003731
0.000104	0.627156	-0.000027	0.003812
0.000105	0.627497	-0.000027	0.003796
0.000106	0.627837	-0.000027	0.003877
0.000107	0.628161	-0.000027	0.003877
0.000108	0.628469	-0.000027	0.003763
0.000108	0.628842	-0.000027	0.003828
0.000109	0.629085	-0.000027	0.003909
0.000110	0.629409	-0.000026	0.003860
0.000111	0.629701	-0.000027	0.003877
0.000112	0.629993	-0.000027	0.003828
0.000113	0.630236	-0.000027	0.003747
0.000113	0.630609	-0.000027	0.003812
0.000114	0.630755	-0.000027	0.003796
