I_B (A)	U_BE (V)	I_C (A)	U_CE (V)
0.000010	0.545202	-0.000008	0.001899
0.000012	0.550827	-0.000008	0.001932
0.000014	0.555771	-0.000010	0.002094
0.000016	0.560179	-0.000010	0.002207
0.000018	0.563989	-0.000012	0.002207
0.000020	0.567490	-0.000012	0.002418
0.000022	0.570780	-0.000014	0.002434
0.000024	0.573795	-0.000014	0.002531
0.000026	0.576518	-0.000015	0.002531
0.000028	0.579079	-0.000016	0.002629
0.000030	0.581495	-0.000017	0.002710
0.000032	0.583732	-0.000017	0.002823
0.000034	0.585952	-0.000017	0.002872
0.000036	0.587995	-0.000018	0.002904
0.000039	0.590102	-0.000019	0.003018
0.000041	0.591885	-0.000019	0.003050
0.000043	0.593733	-0.000019	0.003066
0.000045	0.595467	-0.000020	0.003147
0.000047	0.597120	-0.000021	0.003131
0.000049	0.598725	-0.000021	0.003131
0.000051	0.600216	-0.000021	0.003212
0.000053	0.601659	-0.000022	0.003228
0.000055	0.603102	-0.000022	0.003245
0.000057	0.604479	-0.000023	0.003326
0.000060	0.605906	-0.000023	0.003342
0.000062	0.607219	-0.000023	0.003423
0.000064	0.608337	-0.000023	0.003423
0.000066	0.609683	-0.000023	0.003407
0.000068	0.610882	-0.000023	0.003407
0.000070	0.611936	-0.000024	0.003439
0.000072	0.613103	-0.000025	0.003471
0.000074	0.614059	-0.000024	0.003471
0.000076	0.615275	-0.000025	0.003569
0.000078	0.616280	-0.000025	0.003552
0.000081	0.617236	-0.000024	0.003536
0.000083	0.618209	-0.000024	0.003585
0.000085	0.619214	-0.000026	0.003617
0.000087	0.620154	-0.000025	0.003682
0.000089	0.621256	-0.000026	0.003682
0.000091	0.621937	-0.000026	0.003650
0.000093	0.622909	-0.000026	0.003731
0.000095	0.623671	-0.000026	0.003666
0.000097	0.624676	-0.000027	0.003715
0.000100	0.625438	-0.000026	0.003796
0.000102	0.626232	-0.000027	0.003617
0.000104	0.626946	-0.000027	0.003763
0.000106	0.627805	-0.000027	0.003796
0.000108	0.628631	-0.000028	0.003779
0.000110	0.629409	-0.000027	0.003828
0.000112	0.630058	-0.000027	0.003877
0.000114	0.630868	-0.000027	0.003796
